,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
1818,40.0,215.0,5.12260665529239,3100.0000000000005,3.0,16.0,19.0,3.0,qHD,4G,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1310,40.0,215.0,6.400000000000001,5000.000000000003,1.5,63.999999999999986,13.0,16.0,FHD,4G,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
689,40.0,215.0,5.200000000000001,3100.0000000000005,3.0,16.0,14.0,8.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
125,40.0,215.0,5.958060556877245,3499.9999999999977,1.5,16.0,13.0,3.0,qHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1360,40.0,215.0,4.821248174516109,2349.999999999999,2.0000000000000004,16.0,13.0,8.0,HD,4G,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
141,40.0,215.0,6.570000000000001,4000.0000000000014,1.5,127.99999999999997,19.0,16.0,QHD,5G,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
535,40.0,215.0,4.5,3499.9999999999977,3.0,32.0,12.0,8.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
218,40.0,215.0,6.38,4499.999999999999,0.9999999999999998,127.99999999999997,14.0,20.0,FHD,4G,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1545,40.0,215.0,5.499999999999999,2999.9999999999995,3.999999999999999,32.0,13.0,8.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
583,40.0,215.0,5.499999999999999,3399.999999999999,3.0,32.0,12.0,8.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
