,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
1109,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
1629,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
713,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
569,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1
114,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1
1890,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1818,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1310,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
689,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
125,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0
1360,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
141,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
535,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
218,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
1545,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
583,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1002,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1
214,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
1585,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1
777,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1668,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
748,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
1691,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1
636,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1
1465,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
778,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1
1120,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0
978,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
1509,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
211,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
1802,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1660,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
615,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1
1870,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
1425,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1
74,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
1428,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
1394,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0
1458,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1
