misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
324.38,2020.0,6.4,1,1,0,1,1,0,4G,4025.0,0,0,Oppo - Reno3,1080.0,2400.0,128.0,8.0,48,4.0,44,1.0
1010.71,2020.0,6.7,1,0,1,0,1,1,5G,4260.0,0,1,Oppo - Find X2 Pro,1440.0,3168.0,256.0,12.0,48,3.0,32,1.0
1057.4683963045177,2020.0,6.7,1,0,1,0,1,1,5G,4200.0,0,1,Oppo - Find X2,1440.0,3168.0,128.0,8.0,48,3.0,32,1.0
322.58192957156103,2020.0,6.4,1,1,0,1,1,0,4G,4025.0,0,0,Oppo - Reno3 Pro,1080.0,2400.0,128.0,8.0,64,4.0,44,2.0
752.2275419850897,2019.0,6.5,1,0,1,0,1,1,5G,4025.0,0,0,Oppo - Reno3 Pro 5G,1080.0,2400.0,128.0,8.0,48,4.0,32,1.0
440.0,2019.0,6.4,1,0,0,1,1,1,5G,4025.0,0,0,Oppo - Reno3 5G,1080.0,2400.0,128.0,8.0,64,4.0,32,1.0
150.0,2019.0,6.5,0,1,0,1,1,0,4G,4230.0,0,0,Oppo - A8,720.0,1600.0,128.0,4.0,12,3.0,8,1.0
662.5816423076492,2019.0,6.5,1,0,1,1,1,1,4G,4000.0,0,0,Oppo - Reno Ace,1080.0,2400.0,128.0,8.0,48,4.0,16,1.0
280.0,2019.0,6.4,1,1,0,1,1,1,4G,3600.0,0,1,Oppo - Reno A,1080.0,2340.0,128.0,6.0,16,2.0,25,1.0
159.99,2019.0,6.5,0,1,1,1,1,1,4G,5000.0,0,0,Oppo - A5 (2020),720.0,1600.0,64.0,3.0,12,4.0,8,1.0
278.59673674534736,2019.0,6.5,0,1,1,1,1,0,4G,5000.0,0,0,Oppo - A9 (2020),720.0,1600.0,128.0,4.0,48,4.0,16,1.0
399.99,2019.0,6.5,1,1,0,1,1,1,4G,4000.0,0,0,Oppo - Reno2,1080.0,2400.0,128.0,8.0,48,4.0,16,1.0
298.6890212060939,2019.0,6.5,1,1,0,1,1,0,4G,4000.0,0,0,Oppo - Reno2 F,1080.0,2340.0,128.0,8.0,48,4.0,16,1.0
279.99,2019.0,6.53,1,1,0,1,1,0,4G,4000.0,0,0,Oppo - Reno2 Z,1080.0,2340.0,128.0,8.0,48,4.0,16,1.0
330.0,2019.0,6.4,1,0,1,1,1,1,4G,4035.0,0,0,Oppo - Reno Z,1080.0,2340.0,128.0,4.0,48,2.0,32,1.0
260.0,2019.0,6.53,0,1,0,1,1,1,4G,4020.0,0,0,Oppo - A9x,1080.0,2340.0,128.0,6.0,48,2.0,16,1.0
880.0,2019.0,6.6,1,1,1,0,1,1,5G,4065.0,0,0,Oppo - Reno 5G,1080.0,2340.0,256.0,8.0,48,3.0,16,1.0
100.0,2019.0,6.1,0,1,0,1,0,0,4G,4000.0,0,0,Oppo - A1k,720.0,1560.0,32.0,2.0,8,1.0,5,1.0
230.0,2018.0,6.2,0,1,0,1,0,0,4G,4230.0,0,0,Oppo - A5 (AX5),720.0,1520.0,32.0,3.0,13,2.0,8,1.0
900.0,2019.0,6.47,1,1,1,0,1,1,5G,4000.0,1,0,Orange - Neva jet 5G,1080.0,2340.0,128.0,6.0,48,3.0,20,1.0
499.0,2020.0,6.6,0,0,0,0,1,0,4G,4200.0,0,0,Realme - X3 SuperZoom,1080.0,2400.0,128.0,8.0,64,4.0,32,2.0
